Feature,Importance
Feature_30,0.04501461793721658
Feature_14,0.04482939993161767
Feature_28,0.039710796486728206
Feature_16,0.03828166001032132
Feature_15,0.03738139450786925
Feature_3,0.036679198884461875
Feature_24,0.0351455420828437
Feature_18,0.03399852657931939
Feature_1,0.033338165010366634
Feature_4,0.03327798797249935
Feature_23,0.031989786743817805
Feature_9,0.031639713800201
Feature_5,0.030861576467588185
Feature_2,0.03072049458645276
Feature_21,0.029748495179414934
Feature_31,0.02958388885886752
Feature_0,0.02949173198760175
Feature_29,0.02925732870170221
Feature_27,0.028409954405456656
Feature_13,0.027821037400931975
Feature_26,0.027525676782104186
Feature_20,0.02732747447183169
Feature_11,0.027298886971591173
Feature_6,0.027244999761275514
Feature_8,0.02678300653717691
Feature_12,0.02626446572485861
Feature_7,0.026115102027138466
Feature_10,0.02611493774710831
Feature_17,0.024805721622591755
Feature_22,0.024075717471666373
Feature_19,0.023351712403683864
Feature_25,0.01894750427828286
Feature_32,0.016963496665411523
