Date,AAPL,GOOGL,MSFT,AMZN,NVDA,TSLA,META,NFLX,GC=F,SI=F,CL=F,NG=F,^GSPC,^IXIC
2022-01-03,178.44314575195312,143.9983367919922,324.50457763671875,170.4044952392578,30.06443977355957,399.9266662597656,336.46575927734375,597.3699951171875,1799.4000244140625,22.790000915527344,76.08000183105469,3.815000057220459,4796.56005859375,15832.7998046875
2022-01-04,176.17840576171875,143.41038513183594,318.9402770996094,167.52200317382812,29.23499870300293,383.1966552734375,334.4681091308594,591.1500244140625,1814.0,23.038000106811523,76.98999786376953,3.7170000076293945,4793.5400390625,15622.7197265625
2022-01-05,171.49208068847656,136.83126831054688,306.69683837890625,164.35699462890625,27.55216407775879,362.7066650390625,322.1838684082031,567.52001953125,1824.5999755859375,23.149999618530273,77.8499984741211,3.881999969482422,4700.580078125,15100.169921875
2022-01-06,168.62930297851562,136.80393981933594,304.2733459472656,163.25399780273438,28.125085830688477,354.8999938964844,330.42303466796875,553.2899780273438,1788.699951171875,22.173999786376953,79.45999908447266,3.812000036239624,4696.0498046875,15080.8603515625
2022-01-07,168.7959747314453,136.0784454345703,304.4284973144531,162.5540008544922,27.195833206176758,342.32000732421875,329.75714111328125,541.0599975585938,1797.0,22.393999099731445,78.9000015258789,3.9159998893737793,4677.02978515625,14935.900390625
2022-01-10,168.81556701660156,137.71961975097656,304.65142822265625,161.48599243164062,27.34855079650879,352.7066650390625,326.0599365234375,539.8499755859375,1798.4000244140625,22.445999145507812,78.2300033569336,4.078999996185303,4670.2900390625,14942.830078125
2022-01-11,171.64892578125,138.77880859375,305.3397216796875,165.36199951171875,27.764766693115234,354.79998779296875,332.32135009765625,540.8400268554688,1818.5999755859375,22.805999755859375,81.22000122070312,4.249000072479248,4713.06982421875,15153.4501953125
2022-01-12,172.09010314941406,140.46170043945312,308.5290222167969,165.20700073242188,27.946428298950195,368.739990234375,331.2181396484375,537.219970703125,1827.199951171875,23.200000762939453,82.63999938964844,4.85699987411499,4726.35009765625,15188.3896484375
2022-01-13,168.81556701660156,137.63772583007812,295.47125244140625,161.21400451660156,26.52509880065918,343.85333251953125,324.47967529296875,519.2000122070312,1821.199951171875,23.155000686645508,82.12000274658203,4.269999980926514,4659.02978515625,14806.8095703125
2022-01-14,169.6783447265625,138.5250701904297,300.70599365234375,162.13800048828125,26.891407012939453,349.8699951171875,329.866455078125,525.6900024414062,1816.5,22.910999298095703,83.81999969482422,4.26200008392334,4662.85009765625,14893.75
2022-01-18,166.472412109375,135.06642150878906,293.3871154785156,158.91749572753906,25.854358673095703,343.5033264160156,316.2007141113281,510.79998779296875,1812.300048828125,23.48699951171875,85.43000030517578,4.2829999923706055,4577.10986328125,14506.900390625
2022-01-19,162.97238159179688,134.19097900390625,294.0462341308594,156.2989959716797,25.019929885864258,331.8833312988281,317.6318359375,515.8599853515625,1843.0999755859375,24.22599983215332,86.95999908447266,4.031000137329102,4532.759765625,14340.259765625
2022-01-20,161.2860565185547,132.3943634033203,292.3691711425781,151.66749572753906,24.104650497436523,332.0899963378906,314.6204528808594,508.25,1842.5,24.711000442504883,86.9000015258789,3.802000045776367,4482.72998046875,14154.01953125
2022-01-21,159.22723388671875,129.4586181640625,286.9696960449219,142.64300537109375,23.33010482788086,314.6333312988281,301.3125305175781,397.5,1831.800048828125,24.31399917602539,85.13999938964844,3.999000072479248,4397.93994140625,13768.919921875
2022-01-24,158.45272827148438,129.90802001953125,287.2992858886719,144.54400634765625,23.32811164855957,310.0,306.81854248046875,387.1499938964844,1841.699951171875,23.795000076293945,83.30999755859375,4.0269999504089355,4410.1298828125,13855.1298828125
2022-01-25,156.6487579345703,126.06550598144531,279.66046142578125,139.98599243164062,22.282081604003906,306.1333312988281,298.3110046386719,366.4200134277344,1852.699951171875,23.895999908447266,85.5999984741211,4.052999973297119,4356.4501953125,13539.2900390625
2022-01-26,156.560546875,128.34774780273438,287.62884521484375,138.87249755859375,22.729238510131836,312.4700012207031,292.8248291015625,359.70001220703125,1829.9000244140625,23.80699920654297,87.3499984741211,4.2769999504089355,4349.93017578125,13542.1201171875
2022-01-27,156.09974670410156,128.12130737304688,290.6630859375,139.6374969482422,21.902795791625977,276.3666687011719,292.8348083496094,386.70001220703125,1793.300048828125,22.67300033569336,86.61000061035156,6.264999866485596,4326.509765625,13352.7802734375
2022-01-28,166.99203491210938,132.4375762939453,298.8253173828125,143.97799682617188,22.797109603881836,282.1166687011719,299.8614196777344,384.3599853515625,1784.9000244140625,22.302000045776367,86.81999969482422,4.638999938964844,4431.85009765625,13770.5703125
2022-01-31,171.35479736328125,134.376708984375,301.4621276855469,149.57350158691406,24.440019607543945,312.239990234375,311.3406982421875,427.1400146484375,1795.0,22.395000457763672,88.1500015258789,4.874000072479248,4515.5498046875,14239.8798828125
2022-02-01,171.18814086914062,136.70115661621094,299.31005859375,151.19349670410156,24.59173583984375,310.4166564941406,317.0455322265625,457.1300048828125,1800.300048828125,22.59600067138672,88.19999694824219,4.750999927520752,4546.5400390625,14346.0
2022-02-02,172.39405822753906,146.98622131347656,303.8661804199219,150.6125030517578,25.19460105895996,301.88665771484375,321.0210266113281,429.4800109863281,1809.199951171875,22.711000442504883,88.26000213623047,5.500999927520752,4589.3798828125,14417.5498046875
2022-02-03,169.51165771484375,142.10984802246094,292.02996826171875,138.8455047607422,23.903030395507812,297.0466613769531,236.30325317382812,405.6000061035156,1803.0,22.375,90.2699966430664,4.888000011444092,4477.43994140625,13878.8203125
